(0.01, 1.2, 1.1, 'yes')
(0.01, 1.2, 5, 'yes')
(0.01, 1.2, 10, 'yes')
(0.01, 3, 1.1, 'yes')
(0.01, 3, 5, 'yes')
(0.01, 3, 10, 'yes')
(0.01, 5, 1.1, 'yes')
(0.01, 5, 5, 'yes')
(0.01, 5, 10, 'yes')
(0.01, 'None', 'None', 'abs')
(0.01, 'None', 'None', 'no')
(2, 1.2, 1.1, 'yes')
(2, 1.2, 5, 'yes')
(2, 1.2, 10, 'yes')
(2, 3, 1.1, 'yes')
(2, 3, 5, 'yes')
(2, 3, 10, 'yes')
(2, 5, 1.1, 'yes')
(2, 5, 5, 'yes')
(2, 5, 10, 'yes')
(2, 'None', 'None', 'abs')
(2, 'None', 'None', 'no')
